record_id,license_plate_number,plate_state_region,plate_type,vehicle_type,vehicle_make,vehicle_model,vehicle_color,vehicle_year,timestamp,latitude,longitude,camera_device_id,image_path,ocr_confidence_score,weather_conditions,temperature,visibility_lighting,road_conditions,traffic_conditions,speed,direction_of_travel,event_type,error_codes_remarks,day_of_week,hour_of_day,week,month,year
55328dc4-b25b-451d-8504-1dfbc6eddc53,4225GPX,North Carolina,Specialty,Van,Mazda,CX-30,Blue,2014,2025-03-23 23:46:19,26.127678,-93.906996,CAM-003,/images/capture_0010.jpg,0.79,Foggy,5.7,Dawn,Snowy,Standstill,98,Westbound,Entry,,Sunday,23,12,3,2025
7b699e25-257a-4e07-afa9-79571ab66982,JZ1478E,Ohio,Temporary,Car,GMC,Canyon,White,2011,2025-03-16 18:17:54,27.937851,-95.635646,CAM-023,/images/capture_0011.jpg,0.72,Clear,-3.9,Low Visibility,Flooded,Moderate,21,Southbound,Red Light,,Sunday,18,11,3,2025
e03d5368-003a-42ee-9dcc-757001c11197,1653PMG,Tennessee,Dealer,Car,Audi,Q5,Silver,2022,2025-03-07 08:41:37,34.400237,-118.361728,CAM-027,/images/capture_0012.jpg,0.73,Snowy,24.6,Daytime,Flooded,Moderate,107,Eastbound,Red Light,,Friday,8,10,3,2025
16d5e1e4-9bb8-468f-a96d-d147b894868b,8076NGQ,Colorado,Specialty,Truck,Mercedes-Benz,C-Class,Green,2015,2025-02-22 03:48:05,45.037557,-96.070678,CAM-029,/images/capture_0013.jpg,0.85,Partly Cloudy,10.4,Daytime,Icy,Light,103,Southbound,Parking Violation,Beautiful instead ahead despite measure ago current.,Saturday,3,8,2,2025
48466850-0552-49ff-ab89-985de1a16881,HEA7797,Louisiana,Standard,Van,Ford,Mustang,Brown,2016,2025-03-03 11:24:39,27.982347,-72.172419,CAM-008,/images/capture_0014.jpg,0.75,Rainy,31.6,Nighttime,Icy,Congested,84,Northeast,Exit,,Monday,11,10,3,2025
fbc89983-04ef-4870-b73c-f46b0fc45a83,9826PDT,Iowa,Temporary,Truck,Ford,F-150,Green,2020,2025-03-07 13:11:26,38.339043,-105.714271,CAM-010,/images/capture_0015.jpg,0.93,Sunny,0.6,Dusk,Wet,Light,115,Southeast,Stop Sign,,Friday,13,10,3,2025
bacecd51-ca8a-4a0b-a994-5b06d21e0f77,9995MCJ,Connecticut,Commercial,SUV,Dodge,Durango,White,2010,2025-03-18 13:51:52,37.702951,-90.804865,CAM-001,/images/capture_0016.jpg,0.75,Snowy,6.4,Dusk,Snowy,Heavy,112,Westbound,Regular Scan,,Tuesday,13,12,3,2025
87e56124-80b4-4c8a-9464-cba964c5674f,GG5078Y,Delaware,Dealer,Truck,Honda,Accord,Silver,2018,2025-03-13 12:41:15,25.119322,-92.059577,CAM-026,/images/capture_0017.jpg,0.72,Clear,1.3,Nighttime,Dry,Congested,27,Northeast,Entry,Information last everything thank serve civil institution.,Thursday,12,11,3,2025
779b8506-612e-4cfa-9bec-719df035856e,7145GWL,California,Commercial,Motorcycle,Mercedes-Benz,S-Class,Black,2012,2025-03-20 16:37:12,40.013882,-71.016135,CAM-015,/images/capture_0018.jpg,0.87,Clear,30.6,Nighttime,Snowy,Light,12,Southwest,Stop Sign,,Thursday,16,12,3,2025
1ddd7423-62fd-4d69-ad03-2a1b1631f950,YTR7363,Mississippi,Dealer,Motorcycle,Toyota,Tacoma,Blue,2011,2025-03-12 13:15:09,31.207879,-110.661395,CAM-018,/images/capture_0019.jpg,0.88,Rainy,29.2,Nighttime,Construction,Standstill,41,Southeast,Parking Violation,,Wednesday,13,11,3,2025
e008dc10-8c15-48ab-af86-d6645fce85a7,4200OPA,Arizona,Commercial,Van,Mercedes-Benz,GLC,Orange,2013,2025-02-26 01:01:36,45.566698,-116.194865,CAM-011,/images/capture_0020.jpg,0.86,Cloudy,-7.5,Dawn,Snowy,Standstill,42,Eastbound,Regular Scan,,Wednesday,1,9,2,2025
62647314-ea08-4195-ac35-f2c8ef9ad760,6298BGR,Ohio,Dealer,Motorcycle,Lexus,UX,Red,2017,2025-03-21 06:02:32,29.258682,-77.073075,CAM-004,/images/capture_0021.jpg,0.89,Clear,15.6,Nighttime,Dry,Heavy,43,Northwest,Regular Scan,,Friday,6,12,3,2025
6be4cd3a-49e7-4897-a719-8ab0008bd00e,OSW5244,Illinois,Dealer,Car,Volkswagen,Passat,Gray,2023,2025-03-22 19:17:08,47.762685,-80.58781,CAM-013,/images/capture_0022.jpg,0.95,Partly Cloudy,33.2,Nighttime,Flooded,Moderate,80,Northeast,Exit,,Saturday,19,12,3,2025
a6a03f49-0fbd-4f36-84f3-f365073919c2,CLL4769,Michigan,Standard,Car,Mercedes-Benz,GLE,Brown,2011,2025-03-23 16:58:14,36.962733,-119.185172,CAM-020,/images/capture_0023.jpg,0.77,Foggy,7.8,Daytime,Snowy,Standstill,5,Eastbound,Red Light,,Sunday,16,12,3,2025
78e6f43b-4d5c-4ee0-8b25-e404c6494d21,BSU1151,Illinois,Commercial,Bus,Dodge,Challenger,Orange,2011,2025-03-08 19:09:48,47.341595,-78.199216,CAM-027,/images/capture_0024.jpg,0.9,Foggy,24.3,Dawn,Construction,Heavy,87,Eastbound,Regular Scan,,Saturday,19,10,3,2025
e3f76988-63b0-4192-bb2c-fe240e9a1450,HGY4850,Utah,Specialty,Motorcycle,Chevrolet,Traverse,Yellow,2018,2025-03-14 16:11:48,37.37592,-101.56923,CAM-030,/images/capture_0025.jpg,0.75,Rainy,-0.6,Low Visibility,Icy,Congested,108,Southeast,Stop Sign,,Friday,16,11,3,2025
345edee8-a83f-4aeb-82ad-1679fd65c766,8998EMF,Michigan,Dealer,Van,Subaru,Crosstrek,Green,2021,2025-03-09 14:35:29,34.07411,-78.355441,CAM-030,/images/capture_0026.jpg,0.78,Snowy,4.0,Daytime,Snowy,Congested,98,Northeast,Regular Scan,Choice whatever from behavior benefit.,Sunday,14,10,3,2025
9b9c8f52-7b0b-4d1d-a971-6309f2a8e29d,XE0397J,Kentucky,Specialty,SUV,Mercedes-Benz,C-Class,Black,2014,2025-03-08 18:34:50,43.332468,-74.084289,CAM-019,/images/capture_0027.jpg,0.78,Partly Cloudy,9.1,Dawn,Icy,Congested,40,Northwest,Exit,,Saturday,18,10,3,2025
21236b66-f154-4a18-a5b6-5006b8e46286,SS7641G,Maryland,Temporary,Truck,Ram,1500,Yellow,2012,2025-03-03 23:20:14,37.679711,-92.669211,CAM-009,/images/capture_0028.jpg,0.85,Cloudy,-5.6,Low Visibility,Snowy,Congested,56,Southeast,Parking Violation,,Monday,23,10,3,2025
e984f72f-40ac-4f2d-9940-e42198f9acde,POT0558,West Virginia,Dealer,Car,Ram,ProMaster,Red,2023,2025-02-24 09:21:38,26.539982,-114.777287,CAM-025,/images/capture_0029.jpg,0.78,Foggy,14.0,Dawn,Snowy,Moderate,86,Westbound,Regular Scan,Page southern role movie win her.,Monday,9,9,2,2025
c48a9516-ef18-4043-a4e0-98a6f1cbdd6d,BNW0084,Wyoming,Commercial,SUV,Subaru,Impreza,Black,2015,2025-02-24 02:37:03,31.427187,-72.881083,CAM-020,/images/capture_0030.jpg,0.76,Foggy,27.1,Low Visibility,Wet,Congested,115,Westbound,Parking Violation,,Monday,2,9,2,2025
4f1bc2ba-b954-408b-af9c-d2294dfd84ff,2564PNY,Utah,Standard,Truck,Kia,Telluride,White,2014,2025-03-14 17:05:01,28.716662,-109.346618,CAM-016,/images/capture_0031.jpg,0.74,Partly Cloudy,36.7,Dusk,Construction,Moderate,4,Southbound,Parking Violation,,Friday,17,11,3,2025
e9240ba0-0de3-4de7-8b0d-136bbe7baf0d,RIG1649,Louisiana,Vanity,Truck,Lexus,NX,Yellow,2017,2025-02-22 01:34:16,26.572733,-92.301609,CAM-002,/images/capture_0032.jpg,0.92,Partly Cloudy,19.6,Dawn,Snowy,Moderate,45,Southwest,Parking Violation,,Saturday,1,8,2,2025
46ecbe8d-336f-41d0-8eb5-286e73f13f63,AQO0551,Illinois,Specialty,Motorcycle,Nissan,Altima,Yellow,2016,2025-03-19 02:04:11,41.719469,-89.211782,CAM-017,/images/capture_0033.jpg,0.86,Cloudy,9.9,Dusk,Wet,Heavy,16,Eastbound,Stop Sign,,Wednesday,2,12,3,2025
02dd49a0-4748-46b2-84c7-6713f9a23c89,WW3187T,Virginia,Temporary,SUV,Ram,2500,Blue,2018,2025-03-11 04:42:10,39.857792,-69.556114,CAM-020,/images/capture_0034.jpg,0.73,Cloudy,36.6,Dawn,Snowy,Standstill,82,Northeast,Regular Scan,,Tuesday,4,11,3,2025
1d176373-7c0b-4673-aecb-6b19025e86f0,5659CWG,Rhode Island,Specialty,SUV,Chevrolet,Malibu,Black,2011,2025-03-10 00:05:16,32.083627,-72.7953,CAM-001,/images/capture_0035.jpg,0.83,Snowy,39.3,Dawn,Flooded,Congested,11,Northbound,Entry,,Monday,0,11,3,2025
68315d1d-4c83-49d5-bd34-8c839dc7b30b,TEH2368,Florida,Dealer,Motorcycle,Nissan,Murano,Orange,2023,2025-03-07 06:26:04,29.100907,-94.401184,CAM-012,/images/capture_0036.jpg,0.99,Partly Cloudy,1.2,Daytime,Dry,Light,67,Westbound,Entry,Fall pick those gun court attorney product.,Friday,6,10,3,2025
24810ed6-3683-4e43-91af-cd6a14928a98,4980LHA,Wisconsin,Specialty,Motorcycle,Audi,Q3,Blue,2018,2025-02-25 17:28:59,38.71409,-95.150992,CAM-025,/images/capture_0037.jpg,0.81,Rainy,30.7,Dawn,Icy,Heavy,61,Southeast,Regular Scan,,Tuesday,17,9,2,2025
1d28fad8-21fc-4fbf-a85d-0c20a7f701a4,QGT5400,Virginia,Temporary,Motorcycle,Mazda,CX-5,Red,2012,2025-02-22 01:24:16,41.067884,-91.433643,CAM-018,/images/capture_0038.jpg,0.88,Foggy,-3.2,Dawn,Construction,Moderate,79,Northeast,Red Light,,Saturday,1,8,2,2025
c49dae42-3ff6-45b6-a5f9-016799122392,9585DDI,West Virginia,Specialty,Van,Volkswagen,Atlas,Green,2016,2025-03-10 23:04:44,42.533243,-104.390538,CAM-025,/images/capture_0039.jpg,0.76,Cloudy,20.2,Dusk,Icy,Light,77,Southbound,Speeding,,Monday,23,11,3,2025
3b273831-e7e7-443f-b560-75e08fcbde01,XFG1784,Ohio,Specialty,Motorcycle,Lexus,RX,Blue,2023,2025-03-10 01:21:49,34.783389,-112.575442,CAM-007,/images/capture_0040.jpg,0.7,Rainy,2.8,Daytime,Construction,Moderate,86,Southbound,Exit,,Monday,1,11,3,2025
8a55d2c5-4f62-40d4-85f6-c394de5e2ab2,7921UEK,Kentucky,Standard,Bus,Ram,2500,Red,2018,2025-03-14 03:08:47,28.806229,-81.341114,CAM-014,/images/capture_0041.jpg,0.74,Cloudy,8.8,Dawn,Dry,Congested,112,Eastbound,Speeding,,Friday,3,11,3,2025
6cf76d31-45d1-4722-beab-0487319e67b7,TIY8882,Alabama,Vanity,Van,Mercedes-Benz,A-Class,Black,2013,2025-03-19 14:17:59,30.825189,-83.407779,CAM-014,/images/capture_0042.jpg,0.89,Foggy,29.7,Low Visibility,Flooded,Light,94,Southeast,Exit,,Wednesday,14,12,3,2025
83037e25-8738-4223-84e6-37b22479e0f9,1882VLH,Wyoming,Dealer,SUV,Volkswagen,Jetta,Brown,2012,2025-03-17 07:06:00,35.075193,-103.04062,CAM-018,/images/capture_0043.jpg,0.7,Foggy,3.1,Daytime,Icy,Standstill,28,Southeast,Stop Sign,World talk term herself law.,Monday,7,12,3,2025
ee2d8a3a-afa0-4d9b-ae55-fc70c1adde1b,FRK2073,Maryland,Temporary,Truck,Mercedes-Benz,S-Class,Red,2023,2025-03-06 06:55:26,42.207787,-94.654261,CAM-007,/images/capture_0044.jpg,0.71,Foggy,35.3,Nighttime,Flooded,Heavy,66,Northeast,Stop Sign,,Thursday,6,10,3,2025
2161993e-fd06-4fbf-a41e-9ad1756aa5f4,3959CZE,Maine,Temporary,Van,Ford,Escape,Silver,2020,2025-03-02 18:27:15,33.838156,-114.105284,CAM-010,/images/capture_0045.jpg,0.76,Rainy,-7.4,Low Visibility,Construction,Light,35,Southwest,Parking Violation,,Sunday,18,9,3,2025
220f8fc6-51cd-4e5a-b3ac-b2b139990e2d,AP3749D,Minnesota,Dealer,Truck,Hyundai,Kona,Red,2013,2025-03-09 19:55:24,42.405485,-87.391799,CAM-018,/images/capture_0046.jpg,0.72,Clear,19.4,Dusk,Flooded,Moderate,90,Southbound,Stop Sign,,Sunday,19,10,3,2025
d0b2e574-dae2-4e7f-9b61-3c771b06b2f7,XE0458V,Montana,Commercial,Motorcycle,Jeep,Wrangler,Blue,2022,2025-02-27 00:27:31,37.679705,-101.7336,CAM-005,/images/capture_0047.jpg,0.98,Cloudy,19.3,Nighttime,Flooded,Heavy,105,Southeast,Red Light,,Thursday,0,9,2,2025
3f5479d2-c6ac-419b-a85f-46990909db9f,9714YXQ,Montana,Dealer,Motorcycle,BMW,X3,Green,2010,2025-03-15 07:26:03,30.132984,-121.40802,CAM-013,/images/capture_0048.jpg,0.91,Cloudy,-8.6,Daytime,Dry,Congested,35,Southwest,Parking Violation,,Saturday,7,11,3,2025
2f365ba1-263e-4336-b2ec-4ac808c2bf7f,8733KKH,Pennsylvania,Vanity,Bus,Kia,Telluride,Black,2013,2025-03-09 10:16:31,32.430041,-75.566587,CAM-018,/images/capture_0049.jpg,0.77,Rainy,-8.2,Dusk,Dry,Standstill,33,Northbound,Exit,,Sunday,10,10,3,2025
c28ec6a2-b554-4a54-be8c-6ea8b3af4368,ERJ7154,Wisconsin,Specialty,Motorcycle,Chevrolet,Camaro,Yellow,2021,2025-03-10 03:53:19,43.679076,-80.714196,CAM-024,/images/capture_0050.jpg,0.74,Snowy,-7.6,Daytime,Wet,Congested,5,Southeast,Entry,Class great prove reduce raise author.,Monday,3,11,3,2025
12bfbca1-3404-4c19-a029-24e61f14483b,HFU6346,Tennessee,Standard,Bus,Nissan,Murano,Blue,2021,2025-02-21 18:25:09,26.972039,-66.144805,CAM-019,/images/capture_0051.jpg,0.92,Cloudy,19.8,Daytime,Snowy,Light,39,Westbound,Regular Scan,,Friday,18,8,2,2025
5936ce2d-e300-4c69-b510-d3987868621d,4971CNQ,Alabama,Commercial,Bus,Lexus,IS,Red,2015,2025-03-18 07:29:37,45.962661,-79.654447,CAM-019,/images/capture_0052.jpg,0.85,Sunny,7.0,Dawn,Snowy,Moderate,47,Westbound,Red Light,,Tuesday,7,12,3,2025
8a874fc9-cb0b-4cdf-993b-0d07d8694640,CY2381B,New Mexico,Temporary,Motorcycle,Chevrolet,Camaro,Black,2018,2025-02-24 08:08:48,44.728886,-113.082284,CAM-020,/images/capture_0053.jpg,0.96,Foggy,1.4,Dusk,Construction,Congested,65,Northwest,Entry,,Monday,8,9,2,2025
faad448f-aff9-4c69-8733-f486cd393c51,ZPT4857,Tennessee,Vanity,Bus,Chevrolet,Silverado,Orange,2019,2025-02-22 21:24:01,31.999008,-108.590319,CAM-013,/images/capture_0054.jpg,0.74,Sunny,-9.2,Nighttime,Wet,Standstill,68,Westbound,Entry,,Saturday,21,8,2,2025
2df7ac99-504e-4e53-8f7d-5224ee8a2013,MG6077D,North Carolina,Standard,Bus,Audi,Q3,White,2022,2025-02-21 23:49:28,48.573001,-107.175892,CAM-006,/images/capture_0055.jpg,0.96,Foggy,35.3,Dawn,Flooded,Congested,26,Southbound,Parking Violation,,Friday,23,8,2,2025
28a1f13f-e2b3-4178-9a40-4a4ffa0d95eb,FU6459D,Wisconsin,Dealer,Truck,Toyota,Tundra,Blue,2012,2025-03-18 01:14:30,34.35714,-70.569865,CAM-013,/images/capture_0056.jpg,0.77,Rainy,31.6,Daytime,Dry,Light,13,Northbound,Entry,,Tuesday,1,12,3,2025
9c5ecf64-6f37-467a-8ddd-a021c5edf6d4,DM5537O,Georgia,Temporary,Motorcycle,Lexus,NX,Black,2019,2025-03-19 05:03:29,33.512226,-86.920996,CAM-020,/images/capture_0057.jpg,0.92,Snowy,24.2,Daytime,Dry,Heavy,9,Southbound,Exit,Move each left establish.,Wednesday,5,12,3,2025
afa9bb92-f273-4554-8aa9-916ccf42cde0,8849LEW,Montana,Specialty,Car,BMW,3 Series,Brown,2023,2025-03-06 09:09:47,43.007031,-76.934309,CAM-015,/images/capture_0058.jpg,0.71,Sunny,7.0,Dawn,Flooded,Light,39,Southeast,Entry,,Thursday,9,10,3,2025
82e718b7-1b73-4c20-8570-680fa06cff33,GG6756I,Iowa,Dealer,Bus,Hyundai,Santa Fe,Green,2018,2025-03-06 07:41:46,43.183792,-74.544048,CAM-026,/images/capture_0059.jpg,0.93,Cloudy,-5.2,Daytime,Icy,Congested,8,Southbound,Entry,,Thursday,7,10,3,2025
a0c35f32-1eba-47bc-aea1-bb7ffbe89e24,CH2351H,Iowa,Commercial,Van,Toyota,Corolla,Gray,2018,2025-03-13 23:35:17,45.790563,-91.142713,CAM-001,/images/capture_0060.jpg,0.74,Clear,-5.8,Nighttime,Icy,Moderate,39,Eastbound,Regular Scan,,Thursday,23,11,3,2025
fbd9442b-12d9-46fc-9a9f-2f4ceae53eca,SS0454G,Washington,Vanity,Motorcycle,Dodge,Grand Caravan,Silver,2010,2025-03-01 09:02:13,26.015661,-118.540631,CAM-017,/images/capture_0061.jpg,0.73,Snowy,19.7,Nighttime,Dry,Light,113,Northwest,Exit,,Saturday,9,9,3,2025
1ef37837-6db0-4a11-ad34-c70bcdb8000b,KU9085P,West Virginia,Commercial,Bus,Ram,3500,White,2022,2025-03-09 03:11:13,34.6787,-121.081902,CAM-008,/images/capture_0062.jpg,0.8,Cloudy,23.2,Dusk,Construction,Congested,61,Northbound,Stop Sign,Detail food shoulder argue start source husband.,Sunday,3,10,3,2025
9dabc481-4c6a-424a-b72c-c0ecd0175127,YHK8857,Indiana,Specialty,Bus,Lexus,ES,Brown,2018,2025-02-27 18:17:25,30.497897,-75.724139,CAM-018,/images/capture_0063.jpg,0.71,Sunny,4.5,Daytime,Snowy,Congested,6,Southbound,Regular Scan,Decision wall then fire.,Thursday,18,9,2,2025
ba66e03d-5b3c-423c-8478-4e82fce324bc,8424KRU,New Mexico,Dealer,Van,Mazda,CX-30,White,2015,2025-03-04 12:08:06,41.218022,-115.38272,CAM-014,/images/capture_0064.jpg,0.78,Partly Cloudy,4.4,Low Visibility,Construction,Moderate,83,Southeast,Speeding,,Tuesday,12,10,3,2025
a1dbcb6b-6102-496c-b93a-b70460a6074b,1416AKO,Iowa,Specialty,Van,Hyundai,Palisade,Silver,2018,2025-02-27 11:46:11,33.158337,-112.606966,CAM-018,/images/capture_0065.jpg,0.76,Rainy,22.5,Dusk,Flooded,Congested,117,Westbound,Exit,,Thursday,11,9,2,2025
2cd56d4c-ba13-464a-8562-776c95f82bf4,CLW1234,North Dakota,Temporary,Truck,Chevrolet,Camaro,Silver,2013,2025-03-24 12:29:18,41.396401,-82.050491,CAM-018,/images/capture_0066.jpg,0.9,Snowy,9.5,Nighttime,Snowy,Light,89,Northeast,Exit,,Monday,12,13,3,2025
d8bf2235-90c5-4f00-b1da-379720fe47c6,TJ7820A,Pennsylvania,Commercial,Van,GMC,Sierra,Yellow,2021,2025-03-22 02:51:15,32.051994,-71.986156,CAM-017,/images/capture_0067.jpg,0.95,Partly Cloudy,26.8,Dusk,Dry,Heavy,13,Northbound,Speeding,,Saturday,2,12,3,2025
4b99252f-8782-49fd-8aee-e1114e0f6cdf,5936UQT,Oklahoma,Commercial,Car,Ford,Fusion,Green,2018,2025-03-13 07:04:03,48.021242,-73.812043,CAM-029,/images/capture_0068.jpg,0.8,Cloudy,15.7,Nighttime,Icy,Light,96,Southbound,Stop Sign,,Thursday,7,11,3,2025
499eee6c-0a3e-4b49-becf-9c71208855ec,FAD1652,Wisconsin,Commercial,Truck,Mazda,MX-5,Red,2012,2025-02-22 07:31:19,46.874391,-123.652406,CAM-021,/images/capture_0069.jpg,0.94,Cloudy,15.8,Daytime,Wet,Moderate,19,Westbound,Speeding,,Saturday,7,8,2,2025
03094893-068b-4849-b8c8-a3fd11b0ef31,2369SUE,New Jersey,Dealer,SUV,Jeep,Grand Cherokee,Blue,2015,2025-03-22 02:11:14,25.558338,-116.196293,CAM-019,/images/capture_0070.jpg,0.77,Snowy,21.0,Low Visibility,Icy,Standstill,119,Westbound,Parking Violation,How trip learn enter east no enjoy.,Saturday,2,12,3,2025
c71e2797-0254-45f8-8e16-b35c8973d07f,CA3693W,Washington,Commercial,Car,Mercedes-Benz,E-Class,Yellow,2012,2025-03-13 18:53:19,27.030565,-90.945882,CAM-004,/images/capture_0071.jpg,0.95,Rainy,37.0,Low Visibility,Snowy,Light,29,Westbound,Exit,,Thursday,18,11,3,2025
ddfae2b7-3a0f-4bd0-b1e2-994cce0c7cd1,BRQ1786,New Jersey,Dealer,Truck,Nissan,Rogue,Orange,2011,2025-03-09 22:29:27,34.054507,-79.02599,CAM-016,/images/capture_0072.jpg,0.84,Sunny,32.0,Nighttime,Snowy,Congested,82,Northeast,Stop Sign,,Sunday,22,10,3,2025
dd0baf00-ab76-4397-a1c8-dd6c1b610c45,UOB5606,Michigan,Dealer,Car,Volkswagen,Golf,Gray,2020,2025-03-19 04:32:06,34.868599,-81.943756,CAM-017,/images/capture_0073.jpg,0.81,Sunny,20.8,Low Visibility,Dry,Heavy,101,Northeast,Entry,Investment on gun young catch management sense technology.,Wednesday,4,12,3,2025
36d93692-1fad-48b7-810b-7962fe604266,WVC9687,Colorado,Standard,SUV,Ram,ProMaster,Brown,2012,2025-02-26 20:40:15,31.714903,-90.374109,CAM-022,/images/capture_0074.jpg,0.97,Rainy,12.9,Nighttime,Icy,Light,41,Westbound,Speeding,,Wednesday,20,9,2,2025
e150edcf-4521-4180-8cf7-dabae56d77eb,EN6697O,Massachusetts,Temporary,Bus,Jeep,Cherokee,Orange,2020,2025-02-24 09:40:46,31.974418,-104.453395,CAM-022,/images/capture_0075.jpg,0.73,Clear,8.5,Dusk,Dry,Standstill,108,Southwest,Stop Sign,Physical society instead as.,Monday,9,9,2,2025
3807c5ea-b95d-4633-b881-de6b9cfd326f,VP3292O,Illinois,Dealer,Motorcycle,Ram,2500,Yellow,2020,2025-03-20 19:52:33,38.817026,-123.582233,CAM-021,/images/capture_0076.jpg,0.86,Clear,-1.5,Low Visibility,Wet,Standstill,6,Southeast,Stop Sign,Other life edge network wall quite.,Thursday,19,12,3,2025
b9ddd74b-e277-4869-82f9-bce0452516ef,TOR3434,Nevada,Vanity,Truck,Subaru,Crosstrek,Black,2023,2025-03-11 08:15:37,44.553326,-107.135351,CAM-016,/images/capture_0077.jpg,0.74,Foggy,35.5,Dusk,Construction,Standstill,25,Southwest,Parking Violation,,Tuesday,8,11,3,2025
bb3e9391-dc4c-4cc2-bb80-54e095d57e9f,UI8720G,Wyoming,Standard,Car,Honda,Pilot,White,2019,2025-03-03 22:06:55,37.125192,-96.799844,CAM-026,/images/capture_0078.jpg,0.72,Cloudy,8.5,Low Visibility,Wet,Light,51,Westbound,Regular Scan,,Monday,22,10,3,2025
f301ae77-a04b-4edb-86ac-f037d71aa68b,GKO2474,Vermont,Dealer,Car,Lexus,ES,Blue,2013,2025-03-02 06:43:30,47.033234,-86.428473,CAM-020,/images/capture_0079.jpg,0.71,Sunny,28.8,Daytime,Snowy,Light,68,Northeast,Regular Scan,,Sunday,6,9,3,2025
e05e2e2e-cc15-4111-970d-ded76946d058,CFR3545,Nebraska,Commercial,SUV,Hyundai,Santa Fe,Blue,2023,2025-02-22 08:52:44,43.528886,-81.639595,CAM-003,/images/capture_0080.jpg,0.75,Cloudy,14.5,Nighttime,Icy,Moderate,56,Southbound,Stop Sign,Race Mr environment political.,Saturday,8,8,2,2025
e825f2b1-2f4e-45d9-a103-aebb1e9d7416,ZO3432X,Indiana,Specialty,SUV,Mazda,Mazda3,Black,2022,2025-03-21 12:42:16,42.538722,-113.621775,CAM-012,/images/capture_0081.jpg,0.88,Snowy,21.8,Daytime,Snowy,Standstill,14,Northeast,Stop Sign,,Friday,12,12,3,2025
