record_id,license_plate_number,plate_state_region,plate_type,vehicle_type,vehicle_make,vehicle_model,city,vehicle_color,vehicle_year,timestamp,latitude,longitude,camera_device_id,image_path,ocr_confidence_score,weather_conditions,temperature,visibility_lighting,road_conditions,traffic_conditions,speed,direction_of_travel,event_type,error_codes_remarks,day_of_week,hour_of_day,week,month,year
8d7162b2-1fff-4efc-b028-9f3d1014b60a,TIH2O07,Ceará,Collector,Bus,Ford,Ka,Belém,Gray,2010,2025-03-15 18:50:57,-20.206077,-59.22658,BR-119,/images/capture_0014.jpg,0.9,Rainy,15.4,Dawn,Construction,Standstill,12,Northwest,Exit,,Saturday,18,11,3,2025
3f2484f7-1bf4-416d-b979-6f6a74a6c9c8,ZTN1U26,Rio Grande do Norte,Diplomatic,Bus,Renault,Oroch,Belo Horizonte,Gray,2021,2025-03-21 01:02:38,0.214001,-62.214789,BR-125,/images/capture_0015.jpg,0.94,Cloudy,36.5,Dawn,Good Condition,Heavy,48,Northbound,Entry,,Friday,1,12,3,2025
1f2f4f41-49da-4fd2-9d3e-ed46228faf86,DTO7503,Santa Catarina,Commercial,SUV,Mitsubishi,L200,Curitiba,Gray,2013,2025-03-12 13:51:01,3.414264,-70.863751,BR-130,/images/capture_0016.jpg,0.89,Sunny,16.2,Daytime,Potholes,Standstill,18,Southbound,Speeding,,Wednesday,13,11,3,2025
0de0f906-08e1-49ee-a1ef-599e1c856b5a,CJZ8225,Pará,Official,Van,Chevrolet,Tracker,São Luís,Gray,2018,2025-02-27 04:55:42,0.221057,-40.90547,BR-122,/images/capture_0017.jpg,0.75,Clear,17.5,Nighttime,Good Condition,Light,23,Northbound,Parking Violation,Eos occaecati suscipit facere deleniti architecto optio.,Thursday,4,9,2,2025
3ce892cd-62b9-40f1-a64e-8076faf84f00,CMB7714,Paraíba,Collector,Truck,Renault,Captur,Brasília,Yellow,2022,2025-03-09 20:17:21,-11.506923,-44.523376,BR-111,/images/capture_0018.jpg,0.89,Foggy,37.8,Low Visibility,Construction,Light,107,Southbound,Exit,,Sunday,20,10,3,2025
db471377-33a3-41e1-9736-83faa4d6d550,GWL2572,Minas Gerais,Standard,Motorcycle,Renault,Logan,São Paulo,Gray,2018,2025-03-15 21:18:47,2.420103,-36.056602,BR-111,/images/capture_0019.jpg,0.79,Sunny,24.4,Dawn,Dry,Light,43,Southeast,Regular Scan,,Saturday,21,11,3,2025
3f51b521-14b9-4ab9-88f4-507a2e51fbff,KRJ8O12,Rondônia,Official,Truck,Mitsubishi,Eclipse Cross,Rio de Janeiro,Silver,2014,2025-03-18 05:51:46,-30.060157,-51.834709,BR-114,/images/capture_0020.jpg,0.93,Cloudy,33.0,Dawn,Potholes,Standstill,48,Eastbound,Entry,,Tuesday,5,12,3,2025
9c171a81-1be4-42cf-990c-117921475b4d,AOP0C70,Ceará,Diplomatic,SUV,Mercedes-Benz,Classe A,Campinas,Black,2013,2025-03-03 22:17:07,-3.399046,-37.827361,BR-109,/images/capture_0021.jpg,0.75,Rainy,34.1,Daytime,Potholes,Congested,91,Southeast,Red Light,,Monday,22,10,3,2025
d6f81000-9a07-4f97-ab41-f70426f33fa7,XWB2621,Roraima,Diplomatic,Car,Hyundai,Creta,Maceió,Red,2022,2025-03-09 00:30:53,-8.690736,-37.587236,BR-101,/images/capture_0022.jpg,0.83,Cloudy,32.9,Nighttime,Potholes,Moderate,91,Northbound,Exit,,Sunday,0,10,3,2025
5c8c67bf-adf8-4f5b-8570-023ae2d4fded,GMK1D63,Rio de Janeiro,Diplomatic,Bus,Volkswagen,Nivus,São Gonçalo,Gray,2016,2025-03-21 09:44:06,-27.185025,-43.638948,BR-119,/images/capture_0023.jpg,0.72,Cloudy,39.7,Dusk,Wet,Light,86,Northbound,Entry,,Friday,9,12,3,2025
99f04429-d83b-4136-80f6-2664944b65d6,MSR1B43,Amazonas,Official,Motorcycle,Audi,A4,Guarulhos,Black,2016,2025-03-13 12:52:19,2.354924,-59.957413,BR-130,/images/capture_0024.jpg,0.9,Partly Cloudy,32.5,Nighttime,Wet,Heavy,35,Northbound,Regular Scan,,Thursday,12,11,3,2025
4f9fc92d-3814-4610-9c13-ec851a00f9b7,GEL4229,Minas Gerais,Standard,Truck,BMW,320i,Brasília,Orange,2021,2025-03-22 05:48:38,2.937091,-54.194825,BR-122,/images/capture_0025.jpg,0.89,Rainy,25.1,Dawn,Wet,Moderate,89,Eastbound,Regular Scan,,Saturday,5,12,3,2025
a435f7a7-c617-4fa7-9cef-61a052ee6bc6,VWC8A99,Roraima,Diplomatic,Van,Mitsubishi,Pajero,Campinas,Yellow,2023,2025-03-07 05:46:23,-4.553075,-36.399505,BR-103,/images/capture_0026.jpg,0.71,Stormy,34.9,Dusk,Construction,Standstill,63,Southeast,Parking Violation,,Friday,5,10,3,2025
8c096902-3b7e-44ae-81da-6060443565b6,EMF4039,Alagoas,Diplomatic,Truck,Volkswagen,Virtus,Recife,Yellow,2023,2025-03-20 14:11:46,-7.870075,-69.353748,BR-119,/images/capture_0027.jpg,0.9,Sunny,20.8,Nighttime,Potholes,Light,8,Northwest,Red Light,,Thursday,14,12,3,2025
eedd227f-d2e9-42f7-a0ba-0e41fda29992,YUH8V71,Espírito Santo,Diplomatic,Motorcycle,Renault,Kwid,Duque de Caxias,Green,2010,2025-03-18 11:57:31,-30.10272,-55.115005,BR-124,/images/capture_0028.jpg,0.8,Cloudy,36.7,Dusk,Good Condition,Heavy,65,Westbound,Parking Violation,,Tuesday,11,12,3,2025
da0f7dbe-3b2f-4073-8825-bbcb2a7c4ff6,FBT0X30,Ceará,Collector,Bus,Jeep,Commander,Salvador,Brown,2014,2025-03-06 12:55:06,-25.965144,-62.675609,BR-113,/images/capture_0029.jpg,0.76,Clear,30.4,Daytime,Potholes,Light,94,Northeast,Red Light,,Thursday,12,10,3,2025
4bfab4b2-ee04-4d19-8ead-c2abf374e937,NWE8C80,Goiás,Collector,Car,Chevrolet,Tracker,Natal,Brown,2014,2025-03-13 18:08:56,-22.917535,-70.417804,BR-119,/images/capture_0030.jpg,0.92,Clear,23.2,Dusk,Good Condition,Light,47,Southwest,Stop Sign,,Thursday,18,11,3,2025
58b20725-2ae3-43b6-a35d-20dd0ae182a7,RGD8256,Rio Grande do Sul,Standard,Truck,Renault,Oroch,Duque de Caxias,Orange,2013,2025-03-15 00:39:59,0.059636,-45.029006,BR-107,/images/capture_0031.jpg,0.77,Clear,22.7,Dusk,Construction,Heavy,45,Northwest,Stop Sign,,Saturday,0,11,3,2025
9e856f4a-26a9-4d03-84e1-2e0dbb3d8177,ROI4G63,Piauí,Commercial,Motorcycle,Volkswagen,Amarok,São Paulo,Gray,2012,2025-03-16 18:16:37,-13.80728,-55.052479,BR-119,/images/capture_0032.jpg,0.86,Sunny,17.3,Nighttime,Dry,Moderate,76,Southwest,Speeding,,Sunday,18,11,3,2025
4a98f201-53ad-480e-9360-826fa731dc68,KRH5Y90,Maranhão,Collector,Truck,Citroën,Jumpy,São Luís,Green,2014,2025-02-28 04:55:38,-31.494812,-59.035272,BR-111,/images/capture_0033.jpg,0.96,Partly Cloudy,15.1,Dawn,Flooded,Congested,39,Westbound,Regular Scan,,Friday,4,9,2,2025
48d680c2-8cb5-4094-97df-81e37b9ffa2b,BFG9883,Rondônia,Standard,Van,Audi,Q3,São Gonçalo,Silver,2010,2025-03-13 06:46:12,-1.675607,-66.763701,BR-115,/images/capture_0034.jpg,0.71,Rainy,15.4,Dusk,Good Condition,Congested,0,Westbound,Red Light,,Thursday,6,11,3,2025
5938efe5-2568-4072-8684-dbb20683f045,LOH9856,Amapá,Commercial,Bus,Volkswagen,Nivus,Rio de Janeiro,Brown,2010,2025-03-06 19:34:25,1.763358,-71.019348,BR-118,/images/capture_0035.jpg,0.87,Rainy,18.0,Low Visibility,Potholes,Standstill,93,Northwest,Entry,,Thursday,19,10,3,2025
9ab152ee-d9ae-4454-92cb-83bc8e346fcc,YCW4D87,Roraima,Diplomatic,Bus,Audi,A3,Porto Alegre,Orange,2020,2025-03-17 08:03:21,-11.272237,-52.986108,BR-116,/images/capture_0036.jpg,0.96,Clear,34.0,Daytime,Flooded,Congested,57,Northeast,Stop Sign,,Monday,8,12,3,2025
93bddd11-7633-4e42-909d-4d9eaa947433,HPS2624,Santa Catarina,Collector,Car,Ford,Ka,Guarulhos,Green,2020,2025-03-12 07:20:34,4.895741,-43.126742,BR-112,/images/capture_0037.jpg,0.77,Stormy,37.8,Low Visibility,Dry,Moderate,74,Westbound,Red Light,,Wednesday,7,11,3,2025
ef3351fd-3131-4b27-9113-418526b2a761,CLH0762,Santa Catarina,Commercial,Van,Audi,A3,Rio de Janeiro,Orange,2022,2025-03-24 08:49:37,-30.485,-49.003732,BR-126,/images/capture_0038.jpg,0.96,Foggy,25.5,Dawn,Construction,Light,79,Northwest,Parking Violation,,Monday,8,13,3,2025
51f446e0-368c-4ece-bcc1-b0e2fdfe0a33,OLA1W95,Distrito Federal,Standard,Motorcycle,Toyota,Corolla Cross,Goiânia,Green,2016,2025-02-28 18:37:22,-6.98451,-68.316378,BR-106,/images/capture_0039.jpg,0.72,Stormy,34.2,Dusk,Potholes,Light,103,Southwest,Stop Sign,,Friday,18,9,2,2025
8d822e0e-5a40-4f19-9daf-74fd5464207a,PDD4L87,Paraná,Diplomatic,Motorcycle,Fiat,Cronos,Guarulhos,Red,2011,2025-03-09 10:48:58,-14.255242,-70.352581,BR-102,/images/capture_0040.jpg,0.89,Stormy,18.9,Dusk,Dry,Congested,115,Southbound,Stop Sign,,Sunday,10,10,3,2025
3147642f-d977-4d92-8121-98939ba45f24,XFG1784,Pará,Official,SUV,Volkswagen,Gol,Maceió,Blue,2015,2025-02-25 00:40:58,-10.021679,-46.387074,BR-116,/images/capture_0041.jpg,0.75,Foggy,27.6,Daytime,Construction,Standstill,18,Eastbound,Speeding,,Tuesday,0,9,2,2025
48cf2a07-6990-4946-b888-dae009a4d940,YGE7141,São Paulo,Temporary,Van,Nissan,Kicks,São Luís,Red,2017,2025-03-09 18:44:16,-29.219882,-58.351421,BR-126,/images/capture_0042.jpg,0.75,Cloudy,35.2,Nighttime,Good Condition,Light,29,Southbound,Speeding,,Sunday,18,10,3,2025
6dd56261-376d-4333-b704-4a261114c957,UKR3I17,Piauí,Standard,Van,Ford,Maverick,Campinas,Green,2022,2025-03-19 06:38:07,-18.224821,-68.582048,BR-101,/images/capture_0043.jpg,0.98,Foggy,34.7,Dawn,Dry,Standstill,0,Northeast,Regular Scan,,Wednesday,6,12,3,2025
23212549-39e2-46dc-b768-738140cfb7ef,WWF7L37,Amazonas,Standard,Motorcycle,Kia,Rio,Salvador,Blue,2012,2025-03-24 06:12:54,-9.064992,-63.621934,BR-126,/images/capture_0044.jpg,0.75,Partly Cloudy,36.4,Dusk,Good Condition,Congested,36,Southeast,Red Light,,Monday,6,13,3,2025
7873f9d6-7c49-48fc-b2f5-b1d12ec6705e,FRK2073,Mato Grosso do Sul,Commercial,Motorcycle,Kia,Rio,Salvador,Blue,2017,2025-03-10 18:59:35,-5.234714,-67.619055,BR-105,/images/capture_0045.jpg,0.72,Sunny,18.1,Low Visibility,Wet,Light,101,Southwest,Red Light,,Monday,18,11,3,2025
3793324a-5579-4155-9071-12c89d49c896,RVI0D82,Amapá,Diplomatic,Truck,Renault,Sandero,Fortaleza,Gray,2020,2025-02-25 01:27:00,-29.204732,-50.61808,BR-101,/images/capture_0046.jpg,0.92,Cloudy,26.8,Low Visibility,Good Condition,Light,99,Southbound,Parking Violation,,Tuesday,1,9,2,2025
972c264a-8e10-4c7b-bcbb-b11f6615c0ad,API5N65,São Paulo,Commercial,Car,Hyundai,HB20,Recife,Blue,2016,2025-03-17 10:01:08,-27.576963,-55.467421,BR-109,/images/capture_0047.jpg,0.85,Clear,28.8,Nighttime,Good Condition,Standstill,44,Northeast,Exit,,Monday,10,12,3,2025
87d57b7d-222b-4ebd-9588-694ab381c24b,XEB6A58,Amazonas,Collector,SUV,Toyota,RAV4,Campo Grande,Brown,2018,2025-03-10 15:26:45,0.015832,-54.128047,BR-106,/images/capture_0048.jpg,0.97,Cloudy,23.0,Daytime,Flooded,Congested,93,Southeast,Stop Sign,,Monday,15,11,3,2025
6e9f2884-2e92-47d1-a7f7-8844651f9829,JBR3387,Pernambuco,Commercial,Van,Toyota,Corolla Cross,Salvador,Blue,2012,2025-03-19 13:58:49,2.243114,-71.026302,BR-114,/images/capture_0049.jpg,0.73,Foggy,34.1,Dusk,Potholes,Standstill,102,Westbound,Speeding,,Wednesday,13,12,3,2025
b6fe7a12-cfe1-4527-bc49-ff180a5da247,NRI4R14,São Paulo,Standard,Motorcycle,Nissan,Sentra,Belo Horizonte,White,2019,2025-02-24 18:06:49,3.648435,-71.83897,BR-106,/images/capture_0050.jpg,0.81,Clear,36.6,Low Visibility,Good Condition,Heavy,27,Southeast,Stop Sign,,Monday,18,9,2,2025
6385d779-97d3-46f1-996a-5137fabb5226,RXQ4M50,São Paulo,Diplomatic,Truck,Mitsubishi,Pajero,Goiânia,Silver,2017,2025-03-23 20:06:56,-17.746662,-46.604668,BR-122,/images/capture_0051.jpg,0.75,Clear,18.4,Dawn,Flooded,Congested,17,Southeast,Entry,,Sunday,20,12,3,2025
1c372c6e-a5ab-4889-b68d-2749f475c6e8,FUP5O46,Mato Grosso,Temporary,SUV,Mercedes-Benz,Classe E,Campinas,Blue,2022,2025-03-17 16:23:46,-4.421532,-35.465853,BR-101,/images/capture_0052.jpg,0.83,Rainy,34.3,Dawn,Construction,Heavy,95,Northeast,Red Light,,Monday,16,12,3,2025
da484041-50dc-444c-91ec-a742a0ce0dc1,UYT1J56,Pará,Standard,Car,Audi,A4,Belém,Gray,2015,2025-02-26 21:33:53,-28.268197,-39.782251,BR-103,/images/capture_0053.jpg,0.83,Rainy,37.6,Nighttime,Flooded,Moderate,29,Westbound,Stop Sign,,Wednesday,21,9,2,2025
776cd36a-8b1d-4eba-8d27-f4818056d396,CYG4H81,Paraíba,Standard,Car,Citroën,Aircross,Fortaleza,Brown,2011,2025-03-23 22:22:34,-29.220046,-46.069165,BR-120,/images/capture_0054.jpg,0.85,Sunny,37.7,Low Visibility,Construction,Heavy,10,Eastbound,Red Light,Voluptates sequi sint fugit iste.,Sunday,22,12,3,2025
5fc3dc76-7c38-4a40-a0c5-780b80034879,GMW0461,Ceará,Standard,Car,Jeep,Wrangler,Curitiba,Orange,2014,2025-03-11 23:17:00,-3.693438,-59.755364,BR-128,/images/capture_0055.jpg,0.82,Cloudy,23.2,Dusk,Good Condition,Congested,49,Northbound,Red Light,Cum explicabo pariatur praesentium placeat architecto.,Tuesday,23,11,3,2025
856cd907-d5af-433d-a19d-2c20abbc9c64,MGR0Y88,Goiás,Diplomatic,SUV,Audi,A5,São Gonçalo,Silver,2017,2025-03-13 09:10:09,-7.503273,-38.532834,BR-121,/images/capture_0056.jpg,0.97,Cloudy,17.5,Dusk,Potholes,Light,83,Westbound,Regular Scan,Modi doloribus iure earum.,Thursday,9,11,3,2025
414cb8ec-1408-400f-9593-75caed150eff,FUS7B59,Distrito Federal,Temporary,Bus,Jeep,Renegade,Manaus,White,2014,2025-03-04 15:11:49,-29.190171,-69.837898,BR-116,/images/capture_0057.jpg,0.73,Foggy,20.9,Dawn,Potholes,Congested,80,Southbound,Exit,,Tuesday,15,10,3,2025
511c2c01-a6a6-44e9-a6db-59694f158532,LUR9598,Pernambuco,Temporary,SUV,Citroën,Aircross,Recife,Brown,2013,2025-03-19 01:42:00,-18.817558,-52.532889,BR-104,/images/capture_0058.jpg,0.87,Foggy,24.3,Dawn,Potholes,Standstill,59,Southwest,Stop Sign,,Wednesday,1,12,3,2025
1f08d287-345b-461f-9435-90ca93a924f1,VOX7O22,Alagoas,Diplomatic,Car,Mercedes-Benz,GLA,Salvador,Yellow,2021,2025-03-14 02:29:56,-29.634735,-47.612811,BR-105,/images/capture_0059.jpg,0.86,Sunny,29.1,Nighttime,Flooded,Light,59,Eastbound,Entry,,Friday,2,11,3,2025
68001662-2f83-4f39-a55f-7096fb8237aa,TNQ4O02,Paraíba,Commercial,Truck,Volkswagen,Saveiro,Belém,Brown,2019,2025-03-16 15:36:16,1.826797,-59.508051,BR-124,/images/capture_0060.jpg,0.78,Clear,27.7,Nighttime,Construction,Moderate,117,Southeast,Parking Violation,Dolor eveniet quisquam animi reprehenderit rem illo.,Sunday,15,11,3,2025
82bf53f7-5d88-4be2-ad97-44aff6f4c5a4,IXC2H31,Acre,Official,SUV,Citroën,C4 Cactus,Brasília,Blue,2017,2025-03-17 01:16:17,-32.071991,-41.729256,BR-122,/images/capture_0061.jpg,0.86,Foggy,23.5,Nighttime,Dry,Congested,100,Southeast,Parking Violation,Distinctio velit soluta et.,Monday,1,12,3,2025
6bdade4f-8beb-4ec1-9f8f-328c4381eee3,BKO4249,Amapá,Collector,Truck,Nissan,Kicks,São Luís,White,2014,2025-03-09 13:11:14,-9.67894,-72.148663,BR-103,/images/capture_0062.jpg,0.82,Partly Cloudy,21.5,Nighttime,Good Condition,Standstill,68,Northwest,Stop Sign,,Sunday,13,10,3,2025
adcfc126-585f-4fa1-9ddf-b3b2b0d92fbf,WTJ0378,Rio Grande do Sul,Standard,Bus,Mitsubishi,ASX,São Gonçalo,Orange,2012,2025-03-06 06:13:29,-32.458415,-57.104458,BR-105,/images/capture_0063.jpg,1.0,Stormy,24.4,Dawn,Flooded,Moderate,98,Eastbound,Regular Scan,,Thursday,6,10,3,2025
c73d5bae-57a9-418f-885f-cd6e619494ae,NTU3P24,Roraima,Commercial,Car,Kia,Rio,Curitiba,Gray,2019,2025-03-21 23:09:22,-28.410115,-54.376212,BR-110,/images/capture_0064.jpg,0.93,Rainy,38.5,Daytime,Potholes,Moderate,9,Eastbound,Exit,,Friday,23,12,3,2025
0f27de37-f748-4902-a9f9-281078dcf3ba,KRU7899,Rondônia,Temporary,Car,Audi,Q5,Recife,Blue,2012,2025-03-24 01:18:51,-20.359675,-73.788595,BR-103,/images/capture_0065.jpg,0.95,Clear,16.1,Dawn,Construction,Light,36,Northeast,Speeding,Id totam itaque eaque doloribus natus ea.,Monday,1,13,3,2025
132a8f8f-6d74-487b-be7b-aee2c2f37b40,XPR0481,Santa Catarina,Standard,Truck,Toyota,Yaris,Belém,Brown,2015,2025-03-13 01:53:42,-4.813651,-51.590055,BR-107,/images/capture_0066.jpg,0.9,Partly Cloudy,31.8,Dawn,Good Condition,Heavy,42,Southeast,Stop Sign,,Thursday,1,11,3,2025
c30fdb2b-7e2b-4a20-b006-8db13e9586b2,JFI6I78,Paraíba,Diplomatic,Bus,Jeep,Commander,Porto Alegre,Gray,2010,2025-03-10 14:26:15,-13.115862,-69.023719,BR-119,/images/capture_0067.jpg,0.71,Sunny,30.0,Dawn,Construction,Heavy,48,Northwest,Regular Scan,,Monday,14,11,3,2025
6ca43ffb-694b-4128-b17c-30682704d041,VMT0L20,Minas Gerais,Temporary,Car,Kia,Stonic,São Luís,Yellow,2011,2025-03-11 11:27:57,-16.675922,-40.331761,BR-108,/images/capture_0068.jpg,0.82,Clear,19.0,Low Visibility,Potholes,Moderate,37,Northeast,Entry,,Tuesday,11,11,3,2025
29f3805f-1abb-4758-9133-15985365bca5,TYF0116,Mato Grosso,Collector,SUV,Volkswagen,Polo,Belém,Red,2010,2025-03-13 06:37:50,-24.026587,-54.717924,BR-125,/images/capture_0069.jpg,0.87,Cloudy,33.4,Low Visibility,Flooded,Moderate,56,Eastbound,Parking Violation,,Thursday,6,11,3,2025
94df69b4-3567-48db-bc98-2fb903178086,MGJ6977,Santa Catarina,Diplomatic,Truck,Hyundai,Creta,São Luís,Orange,2023,2025-02-23 05:25:03,2.301288,-73.89765,BR-123,/images/capture_0070.jpg,0.85,Rainy,15.5,Low Visibility,Potholes,Light,93,Southwest,Parking Violation,,Sunday,5,8,2,2025
9bf5ce28-a059-4eb4-b18d-eb545ba5eced,ZCA3693,Minas Gerais,Official,Bus,BMW,X5,Recife,Black,2015,2025-03-19 06:00:36,-4.650527,-51.723427,BR-114,/images/capture_0071.jpg,0.98,Rainy,22.4,Dawn,Construction,Congested,36,Eastbound,Red Light,,Wednesday,6,12,3,2025
6627df23-7489-4e27-9ae2-fbd596b92eed,BRQ1786,Distrito Federal,Commercial,Truck,Ford,Bronco,Campo Grande,Yellow,2018,2025-03-03 21:16:40,-25.371929,-37.689458,BR-129,/images/capture_0072.jpg,0.83,Stormy,22.3,Dusk,Wet,Light,107,Northeast,Entry,Incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique.,Monday,21,10,3,2025
49c41dc6-b90f-44cb-8375-5beb83e6ec18,UOB5606,Minas Gerais,Diplomatic,Van,Hyundai,Tucson,Recife,Orange,2017,2025-02-27 07:01:11,-22.278484,-71.978452,BR-120,/images/capture_0073.jpg,0.86,Clear,34.0,Low Visibility,Good Condition,Light,31,Northbound,Entry,,Thursday,7,9,2,2025
30ad339e-5578-4637-bc6a-16b50b5aa22f,WVC9687,Alagoas,Official,Car,Citroën,Jumpy,Natal,Yellow,2015,2025-03-12 02:51:25,-26.213906,-49.500235,BR-113,/images/capture_0074.jpg,0.77,Rainy,36.1,Daytime,Potholes,Moderate,56,Northbound,Exit,,Wednesday,2,11,3,2025
c51fbdb8-29f0-4e1c-9f28-9c079dc14898,ENQ9Z97,Acre,Collector,Truck,Audi,A4,Rio de Janeiro,Yellow,2012,2025-03-17 11:09:15,-18.906968,-65.425089,BR-115,/images/capture_0075.jpg,0.79,Partly Cloudy,24.2,Nighttime,Wet,Moderate,1,Northbound,Exit,Occaecati recusandae in aperiam.,Monday,11,12,3,2025
9c1aff3e-fad4-42d1-b902-74e2cb93c09e,LTG3C24,Goiás,Temporary,SUV,Volkswagen,Taos,Fortaleza,Orange,2015,2025-03-19 11:15:29,-25.593166,-46.720707,BR-118,/images/capture_0076.jpg,0.8,Partly Cloudy,22.0,Dusk,Dry,Light,100,Eastbound,Red Light,,Wednesday,11,12,3,2025
da28281b-288c-457b-bc31-bd5f9cfd4362,ORI7K12,Amazonas,Diplomatic,Car,Ford,Bronco,Fortaleza,Green,2023,2025-03-07 12:39:08,-33.178387,-60.692194,BR-119,/images/capture_0077.jpg,0.92,Rainy,34.3,Low Visibility,Potholes,Moderate,94,Northbound,Parking Violation,Nisi iusto dolorum mollitia velit perspiciatis.,Friday,12,10,3,2025
